Region,Date,All aged 16 & over,Total economically active,Total in employment,Unemployed,Economically inactive,Economic activity rate (%),Employment rate (%),Unemployment rate (%),Economic inactivity rate (%),All aged 16 to 64,Total economically active (16 to 64),Total in employment (16 to 64),Unemployed (16 to 64),Economically inactive (16 to 64),Economic activity rate (%) (16 to 64),Employment rate (%) (16 to 64),Unemployment rate (%) (16 to 64),Economic inactivity rate (%) (16 to 64),Treated
North East,Jun-Aug 1998,2007430,1136025.569,1039078.506,96947.06278,871404.431,56.59104273,51.76163085,8.533880348,43.40895727,1612723,1123621.613,1027213.113,96408.49946,489101.3871,69.67232519,63.69433024,8.580157088,30.32767481,0
North East,Jul-Sep 1998,2007271,1139404.158,1043101.978,96302.17937,867866.8423,56.76384293,51.96617588,8.451977178,43.23615707,1612524,1125602.851,1029347.846,96255.00558,486921.1487,69.80378905,63.83457522,8.551418065,30.19621095,0
North East,Aug-Oct 1998,2006913,1141143.637,1041669.732,99473.90551,865769.3625,56.86064306,51.90408015,8.717036335,43.13935694,1612131,1124930.451,1025635.959,99294.49252,487200.5487,69.77909681,63.61988937,8.82672279,30.22090319,0
North East,Sep-Nov 1998,2006589,1150980.08,1048566.046,102414.0339,855608.9204,57.36003135,52.25614442,8.897984916,42.63996865,1611737,1137831.64,1035481.219,102350.4204,473905.3605,70.59660723,64.24628951,8.995216588,29.40339277,0
North East,Oct-Dec 1998,2006248,1151292.025,1042808.576,108483.449,854955.9747,57.3853295,51.97804939,9.42275692,42.6146705,1611365,1137789.351,1029443.199,108346.1518,473575.6492,70.61028077,63.8864068,9.522514143,29.38971923,0
North East,Nov-Jan 1999,2006040,1152348.648,1042210.501,110138.1474,853691.352,57.44395166,51.95362508,9.55771047,42.55604834,1611046,1138953.737,1028735.645,110218.0913,472092.2632,70.69653733,63.85513793,9.677135051,29.30346267,0
North East,Dec-Feb 1999,2005759,1148651.974,1037125.534,111526.4394,857107.0263,57.26769635,51.7073853,9.709332498,42.73230365,1610688,1134931.016,1023372.406,111558.6107,475756.9837,70.46249903,63.53635252,9.829549908,29.53750097,0
North East,Jan-Mar 1999,2005191,1146674.334,1036641.817,110032.5172,858516.666,57.18529227,51.69790892,9.595794893,42.81470773,1610115,1131674.588,1021640.016,110034.5721,478440.412,70.2853267,63.45136937,9.723163643,29.7146733,0
North East,Feb-Apr 1999,2004939,1144044.331,1029886.92,114157.411,860894.669,57.06130366,51.36749397,9.978407997,42.93869634,1609739,1129339.615,1015600.24,113739.374,480399.3855,70.1566909,63.09098807,10.07131713,29.8433091,0
North East,Mar-May 1999,2004594,1144381.993,1030551.337,113830.6558,860212.0074,57.08796857,51.40947927,9.946910779,42.91203143,1609380,1130381.428,1017024.212,113357.2157,478998.5719,70.23707441,63.19354114,10.02822701,29.76292559,0
North East,Apr-Jun 1999,2004187,1146212.677,1034844.77,111367.9072,857974.3228,57.1909047,51.63414242,9.716164321,42.8090953,1608904,1134255.978,1023822.797,110433.1811,474648.0219,70.49867351,63.63479717,9.736178009,29.50132649,0
North East,May-Jul 1999,2004009,1150190.627,1042791.267,107399.3601,853818.3726,57.39448412,52.03525869,9.337526978,42.60551588,1608690,1138404.575,1031458.107,106946.4676,470285.4254,70.76593841,64.11789139,9.394416539,29.23406159,0
North East,Jun-Aug 1999,2003903,1155446.008,1045346.932,110099.0756,848456.9921,57.65977734,52.16554555,9.528707952,42.34022266,1608465,1143680.326,1034735.418,108944.9078,464784.6737,71.10383666,64.3306145,9.525818127,28.89616334,0
North East,Jul-Sep 1999,2003892,1162415.936,1048256.025,114159.9111,841476.0639,58.0079134,52.31100403,9.820917587,41.9920866,1608368,1151069.377,1038245.278,112824.0985,457298.6231,71.56753783,64.55271918,9.801676665,28.43246217,0
North East,Aug-Oct 1999,2003658,1149255.212,1042387.114,106868.0981,854402.7877,57.3578531,52.02420344,9.298900451,42.6421469,1608026,1137040.777,1031804.988,105235.7891,470985.2233,70.71034776,64.16593933,9.255234401,29.28965224,0
North East,Sep-Nov 1999,2003480,1155589.143,1054405.914,101183.2282,847890.8574,57.6790955,52.62872174,8.755986402,42.3209045,1607751,1146136.759,1046284.694,99852.06532,461614.241,71.28820066,65.07753338,8.712055043,28.71179934,0
North East,Oct-Dec 1999,2003453,1164313.806,1069349.055,94964.75166,839139.1936,58.11535416,53.37530028,8.156284941,41.88464584,1607641,1153812.473,1060174.867,93637.60605,453828.5274,71.7705304,65.94599581,8.115496086,28.2294696,0
North East,Nov-Jan 2000,2003410,1165773.708,1068107.051,97666.65742,837636.2919,58.18947236,53.3144514,8.377840119,41.81052764,1607492,1153602.279,1057069.485,96532.79446,453889.7208,71.76410702,65.75892662,8.367944152,28.23589298,0
North East,Dec-Feb 2000,2003278,1158198.346,1061183.445,97014.90041,845079.6541,57.81515825,52.97235059,8.376363233,42.18484175,1607308,1145219.634,1049379.576,95840.05741,462088.3663,71.25078913,65.28802049,8.368705407,28.74921087,0
North East,Jan-Mar 2000,2003244,1166907.269,1062236.145,104671.1247,836336.7306,58.25088054,53.02579939,8.969960802,41.74911946,1607142,1155095.763,1051286.16,103809.6037,452046.2367,71.87266361,65.41339593,8.987099339,28.12733639,0
North East,Feb-Apr 2000,2003132,1170509.088,1069749.645,100759.4423,832622.9125,58.43394681,53.40385183,8.608172575,41.56605319,1606925,1157685.829,1057741.731,99944.09755,449239.171,72.04355082,65.82396387,8.633093284,27.95644918,0
North East,Mar-May 2000,2003088,1171387.423,1065883.906,105503.5174,831700.577,58.47907945,53.2120359,9.006714203,41.52092055,1606814,1159633.583,1054475.653,105157.9293,447180.4173,72.16974601,65.62524682,9.068203165,27.83025399,0
North East,Apr-Jun 2000,2002993,1182971.672,1076341.903,106629.7691,820021.3278,59.06020002,53.73667822,9.013721254,40.93979998,1606600,1171678.897,1065397.895,106281.0018,434921.1029,72.92909854,66.31382394,9.070830077,27.07090146,0
North East,May-Jul 2000,2002884,1179274.756,1071871.183,107403.573,823609.244,58.87883452,53.51638852,9.107595361,41.12116548,1606395,1167865.664,1060806.991,107058.6737,438529.3356,72.70102711,66.03649729,9.167036668,27.29897289,0
North East,Jun-Aug 2000,2003264,1180232.801,1070598.138,109634.6631,823031.199,58.91548997,53.44268843,9.289240477,41.08451003,1606522,1170337.813,1061211.954,109125.8586,436184.1872,72.84916191,66.0564844,9.324304264,27.15083809,0
North East,Jul-Sep 2000,2003617,1177308.525,1071130.982,106177.5432,826308.4751,58.7591603,53.45986691,9.018667663,41.2408397,1606717,1167406.802,1061098.246,106308.5566,439310.1978,72.6578982,66.04139034,9.106384886,27.3421018,0
