region,year,total_economically_active,total_in_employment,unemployed,employment_rate,total_economically_active_16_64,total_in_employment_16_64,unemployed_16_64,economically_inactive_16_64,economic_activity_rate_16_64,employment_rate_16_64,unemployment_rate_16_64,treated,RegionID
EastofEngland,2013,3079184.9370833333,2886016.316,193168.621025,60.71613926,2954500.7358333333,2764313.850916667,190186.88490833333,725535.6809583333,80.28457864833332,75.1161445675,6.437382425583333,0.0,3
EastofEngland,2014,3107753.0419166666,2947124.1717499997,160628.87004166667,61.38711775083333,2979695.4544166666,2821687.2156666666,158008.23885,718999.6288416666,80.5605916275,76.2882491125,5.3035417035,0.0,3
EastofEngland,2015,3141529.262,3003970.352166667,137558.90974166666,62.008957577500006,3006808.43925,2871267.0500000003,135541.38921666666,712791.5607250001,80.83654131583333,77.192115965,4.509449179333333,0.0,3
EastofEngland,2016,3155683.7365833335,3033122.0598333334,122561.6768,62.150087255833334,3015449.1951666665,2894150.167416667,121299.02775833332,720383.3048666668,80.7170484075,77.47037495083333,4.023109047833334,0.0,3
EastofEngland,2017,3158036.087,3033300.6914166664,124735.3955,61.79969272416667,3030884.2438333333,2907307.939416667,123576.30432499999,715074.9228833333,80.9104776475,77.6114566,4.07794295025,0.0,3
EastofEngland,2018,3172579.5421666666,3067313.35175,105266.19032166667,62.06309240583334,3051243.97775,2948402.4872500002,102841.49051833333,707745.7723583333,81.1720190075,78.43581947083334,3.3702020388333334,0.0,3
EastofEngland,2019,3224870.79625,3124632.7984166667,100237.9977675,62.80807791,3072251.6815833333,2974989.55725,97262.12427916667,698779.6517916666,81.4700809,78.89093201333334,3.1658871552499996,0.0,3
EastofEngland,2020,3214377.897833334,3084560.251916667,129817.64594999999,61.66725526583334,3059675.0739166667,2932032.7824166664,127642.29139166667,720609.9261583333,80.9377443175,77.5614086575,4.17212351625,0.0,3
EastofEngland,2021,3223288.99875,3107559.2218333334,115729.77696583333,61.8354780875,3081665.4894999997,2969242.7193333334,112422.77045,705267.7603916667,81.37582453583333,78.40671695,3.6503570035,0.0,3
NorthEast,1993,1190638.9001666668,1037278.5329166666,153360.36745833335,51.29047503583333,1179275.7920833335,1026472.9305833332,152802.86171666667,455818.54116666666,72.12280523833333,62.7774992075,12.957629583333334,0.0,4
NorthEast,1994,1173857.0891666666,1028490.9250833333,145366.16405833335,50.996190873333326,1163243.1509999998,1018186.662,145056.48903333335,465069.5157416666,71.4380696525,62.529810585,12.468742597499999,0.0,4
NorthEast,1995,1171510.6429166666,1035764.27325,135746.36955833333,51.42587869416667,1159565.9401666666,1024005.29025,135560.6499,464363.39314999996,71.40523903916666,63.05767150416667,11.6923039125,0.0,4
NorthEast,1996,1179189.4240833332,1054446.93325,124742.49108333333,52.386939339166666,1168131.1988333333,1043480.7985833334,124650.40029166666,452447.46789166663,72.08098979916666,64.38943904166666,10.66973525275,0.0,4
NorthEast,1997,1170069.146,1060421.177,109647.96908666666,52.758888800833326,1160063.2601666667,1050702.1305,109361.12971916667,456289.239725,71.77033808666667,65.0046277725,9.42484761425,0.0,4
NorthEast,1998,1149057.5185,1050865.3494166667,98192.16906583332,52.3399344575,1136893.1139166667,1039099.2230833335,97793.89076583333,476310.1362083333,70.4740606125,64.41183490166667,8.60267623575,0.0,4
NorthEast,1999,1151627.0574166665,1042816.4321666667,108810.62523,52.0258390575,1139140.0540833334,1031074.889,108065.16493916667,469927.6960083333,70.79526613333333,64.07940664916667,9.489188967666667,0.0,4
NorthEast,2000,1170921.51225,1070053.2884166667,100868.22389750001,53.41005680999999,1159801.3974166668,1059551.1585,100250.23889583333,447091.1025166667,72.17675360083332,65.93793498166667,8.640724098083334,0.0,4
NorthEast,2001,1158428.11225,1072982.8848333333,85445.22744833333,53.455974633333334,1149987.3089166668,1065124.4555,84862.85317666667,458392.774625,71.49973447,66.22331262416667,7.37955428075,0.0,4
NorthEast,2002,1158955.6333333333,1080562.5870833334,78393.04627833334,53.627990788333335,1151012.8235,1073259.6414166668,77753.18211583333,462452.25979999994,71.33824746916666,66.51902573833333,6.753854773583334,0.0,4
NorthEast,2003,1159373.925,1084685.0998333332,74688.8252275,53.65460308583334,1148530.5168333333,1073956.7608333332,74573.75594833333,468492.73322500003,71.02706509833332,66.4152492425,6.493639113833333,0.0,4
NorthEast,2004,1182002.6216666666,1113216.1711666666,68786.45060916667,54.88221013166666,1166831.9815,1098219.2606666666,68612.72081333333,454649.93515833333,71.96067108166666,67.72937698083334,5.879002497666666,0.0,4
NorthEast,2005,1199168.3460000001,1124591.1419166666,74577.2043,55.162924145,1186181.6355,1112509.5893333333,73672.0461625,443948.78116666665,72.76603647083333,68.24707241916667,6.2097266197500005,0.0,4
